real,smooth,episode
1.28E+00,4.71E-01,1
9.76E-01,4.74E-01,2
6.09E-01,4.89E-01,3
2.04E+00,5.18E-01,4
2.10E+00,5.60E-01,5
2.23E+00,6.15E-01,6
1.91E+00,6.83E-01,7
2.26E+00,7.64E-01,8
2.23E+00,8.59E-01,9
1.72E+00,9.66E-01,10
-8.38E-02,1.09E+00,11
-1.48E-01,1.22E+00,12
-1.60E-01,1.37E+00,13
-1.72E-01,1.53E+00,14
-1.41E-01,1.70E+00,15
-1.56E-01,1.89E+00,16
-1.60E-01,2.09E+00,17
1.61E+00,2.30E+00,18
2.25E+00,2.53E+00,19
2.27E+00,2.76E+00,20
2.26E+00,3.02E+00,21
2.27E+00,3.28E+00,22
2.30E+00,3.56E+00,23
2.27E+00,3.85E+00,24
2.31E+00,4.16E+00,25
2.19E+00,4.47E+00,26
2.14E+00,5.09E+00,27
2.02E+00,5.52E+00,28
2.18E+00,5.97E+00,29
2.04E+00,6.45E+00,30
2.23E+00,6.95E+00,31
1.29E+01,7.46E+00,32
1.28E+01,7.96E+00,33
1.35E+01,8.49E+00,34
1.35E+01,9.01E+00,35
1.26E+01,9.51E+00,36
1.09E+01,9.95E+00,37
1.24E+01,1.04E+01,38
1.06E+01,1.08E+01,39
1.17E+01,1.11E+01,40
1.09E+01,1.15E+01,41
1.34E+01,1.18E+01,42
1.35E+01,1.21E+01,43
1.35E+01,1.24E+01,44
1.34E+01,1.26E+01,45
1.36E+01,1.29E+01,46
1.35E+01,1.31E+01,47
1.34E+01,1.33E+01,48
1.33E+01,1.35E+01,49
1.26E+01,1.36E+01,50
1.24E+01,1.37E+01,51
7.61E+00,1.37E+01,52
1.35E+01,1.37E+01,53
1.29E+01,1.36E+01,54
1.35E+01,1.35E+01,55
1.33E+01,1.33E+01,56
1.35E+01,1.31E+01,57
1.33E+01,1.32E+01,58
1.33E+01,1.32E+01,59
1.34E+01,1.32E+01,60
1.35E+01,1.33E+01,61
1.33E+01,1.34E+01,62
1.33E+01,1.34E+01,63
1.34E+01,1.34E+01,64
1.35E+01,1.34E+01,65
1.33E+01,1.34E+01,66
1.34E+01,1.33E+01,67
1.35E+01,1.33E+01,68
1.36E+01,1.34E+01,69
1.34E+01,1.34E+01,70
1.34E+01,1.34E+01,71
1.35E+01,1.34E+01,72
1.35E+01,1.34E+01,73
1.34E+01,1.34E+01,74
1.35E+01,1.34E+01,75
1.35E+01,1.34E+01,76
1.35E+01,1.33E+01,77
1.34E+01,1.31E+01,78
1.35E+01,1.31E+01,79
1.34E+01,1.30E+01,80
1.28E+01,1.30E+01,81
1.22E+01,1.29E+01,82
1.22E+01,1.29E+01,83
1.35E+01,1.28E+01,84
1.34E+01,1.28E+01,85
1.34E+01,1.27E+01,86
1.22E+01,1.27E+01,87
1.28E+01,1.26E+01,88
1.27E+01,1.26E+01,89
1.06E+01,1.25E+01,90
1.27E+01,1.25E+01,91
1.25E+01,1.25E+01,92
1.23E+01,1.24E+01,93
1.16E+01,1.24E+01,94
1.25E+01,1.24E+01,95
1.19E+01,1.23E+01,96
1.18E+01,1.23E+01,97
1.25E+01,1.23E+01,98
1.24E+01,1.23E+01,99
1.24E+01,1.22E+01,100
1.23E+01,1.22E+01,101
1.24E+01,1.22E+01,102
1.24E+01,1.22E+01,103
1.23E+01,1.22E+01,104
1.26E+01,1.22E+01,105
1.18E+01,1.22E+01,106
1.24E+01,1.21E+01,107
1.23E+01,1.21E+01,108
1.24E+01,1.21E+01,109
1.25E+01,1.21E+01,110
1.18E+01,1.21E+01,111
1.26E+01,1.21E+01,112
1.24E+01,1.21E+01,113
1.19E+01,1.22E+01,114
1.24E+01,1.22E+01,115
1.18E+01,1.21E+01,116
1.18E+01,1.21E+01,117
1.19E+01,1.21E+01,118
1.24E+01,1.22E+01,119
1.17E+01,1.21E+01,120
1.17E+01,1.22E+01,121
1.19E+01,1.22E+01,122
1.25E+01,1.22E+01,123
1.18E+01,1.22E+01,124
1.18E+01,1.22E+01,125
1.23E+01,1.22E+01,126
1.24E+01,1.22E+01,127
1.23E+01,1.22E+01,128
1.24E+01,1.22E+01,129
1.24E+01,1.23E+01,130
1.23E+01,1.23E+01,131
1.24E+01,1.23E+01,132
1.24E+01,1.23E+01,133
1.24E+01,1.23E+01,134
1.24E+01,1.23E+01,135
1.25E+01,1.24E+01,136
1.24E+01,1.24E+01,137
1.24E+01,1.24E+01,138
1.24E+01,1.24E+01,139
1.24E+01,1.24E+01,140
1.25E+01,1.24E+01,141
1.27E+01,1.24E+01,142
1.24E+01,1.24E+01,143
1.25E+01,1.25E+01,144
1.24E+01,1.25E+01,145
1.24E+01,1.25E+01,146
1.24E+01,1.24E+01,147
1.24E+01,1.24E+01,148
1.23E+01,1.24E+01,149
1.24E+01,1.24E+01,150
1.25E+01,1.24E+01,151
1.24E+01,1.24E+01,152
1.24E+01,1.24E+01,153
1.24E+01,1.24E+01,154
1.21E+01,1.24E+01,155
1.25E+01,1.24E+01,156
1.24E+01,1.24E+01,157
1.25E+01,1.24E+01,158
1.25E+01,1.24E+01,159
1.25E+01,1.24E+01,160
1.19E+01,1.24E+01,161
1.24E+01,1.24E+01,162
1.25E+01,1.24E+01,163
1.25E+01,1.24E+01,164
1.25E+01,1.24E+01,165
1.25E+01,1.24E+01,166
1.24E+01,1.24E+01,167
1.25E+01,1.24E+01,168
1.20E+01,1.24E+01,169
1.24E+01,1.24E+01,170
1.24E+01,1.24E+01,171
1.24E+01,1.24E+01,172
