"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1","Aberdeen city","South Dakota","Small","Bike",110,0.8,0.5,"SD","North Central"
"2","Acworth city","Georgia","Small","Bike",0,0,0.4,"GA","South"
"3","Addison village","Illinois","Small","Bike",43,0.2,0.3,"IL","North Central"
"4","Adelanto city","California","Small","Bike",0,0,0.5,"CA","West"
"5","Adrian city","Michigan","Small","Bike",121,1.5,1,"MI","North Central"
"6","Agawam Town city","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast"
"7","Agoura Hills city","California","Small","Bike",84,0.8,1.1,"CA","West"
"8","Aiken city","South Carolina","Small","Bike",23,0.2,0.3,"SC","South"
"9","Alabaster city","Alabama","Small","Bike",0,0,0.2,"AL","South"
"10","Alameda city","California","Small","Bike",576,1.5,0.4,"CA","West"
"11","Alamogordo city","New Mexico","Small","Bike",35,0.3,0.2,"NM","West"
"12","Albany city","Georgia","Small","Bike",77,0.3,0.2,"GA","South"
"13","Albany city","New York","Small","Bike",419,0.9,0.3,"NY","Northeast"
"14","Albany city","Oregon","Small","Bike",281,1.3,0.6,"OR","West"
"15","Albertville city","Alabama","Small","Bike",2,0,0.1,"AL","South"
"16","Alexandria city","Louisiana","Small","Bike",100,0.5,0.3,"LA","South"
"17","Algonquin village","Illinois","Small","Bike",109,0.7,0.6,"IL","North Central"
"18","Alhambra city","California","Small","Bike",198,0.5,0.2,"CA","West"
"19","Aliso Viejo city","California","Small","Bike",85,0.3,0.2,"CA","West"
"20","Allen city","Texas","Small","Bike",21,0,0.1,"TX","South"
"21","Allen Park city","Michigan","Small","Bike",55,0.5,0.4,"MI","North Central"
"22","Alliance city","Ohio","Small","Bike",19,0.2,0.2,"OH","North Central"
"23","Alpharetta city","Georgia","Small","Bike",0,0,0.1,"GA","South"
"24","Altamonte Springs city","Florida","Small","Bike",282,1.3,0.7,"FL","South"
"25","Alton city","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central"
"26","Altoona city","Pennsylvania","Small","Bike",33,0.2,0.2,"PA","Northeast"
"27","Alvin city","Texas","Small","Bike",127,1.2,0.7,"TX","South"
"28","American Fork city","Utah","Small","Bike",32,0.3,0.3,"UT","West"
"29","Ames city","Iowa","Small","Bike",808,2.5,0.6,"IA","North Central"
"30","Anderson city","Indiana","Small","Bike",96,0.4,0.2,"IN","North Central"
"31","Anderson city","South Carolina","Small","Bike",10,0.1,0.2,"SC","South"
"32","Andover city","Minnesota","Small","Bike",22,0.1,0.2,"MN","North Central"
"33","Ankeny city","Iowa","Small","Bike",52,0.2,0.2,"IA","North Central"
"34","Annapolis city","Maryland","Small","Bike",41,0.2,0.2,"MD","South"
"35","Anniston city","Alabama","Small","Bike",12,0.1,0.2,"AL","South"
"36","Apache Junction city","Arizona","Small","Bike",71,0.6,0.6,"AZ","West"
"37","Apex town","North Carolina","Small","Bike",0,0,0.2,"NC","South"
